Designator,Mid X,Mid Y,Rotation,Layer
C1,120.325,-100.275,0.0,top
C10,119.69,-88.91,90.0,top
C13,151.375,-96.15,0.0,top
C14,154.1,-92.125,90.0,top
C2,127.0,-95.8,270.0,top
C3,124.675,-93.475,0.0,top
C4,123.75,-106.525,270.0,top
C5,122.3,-106.525,270.0,top
C6,121.15,-106.15,270.0,top
C7,120.35,-108.55,180.0,top
C8,141.15,-97.18,270.0,top
C9,123.09,-86.97,180.0,top
D1,127.925,-93.25,0.0,top
D2,143.850875,-99.473375,180.0,top
D3,128.425,-99.1,180.0,top
D4,146.216625,-99.498375,0.0,top
D5,130.95,-99.075,0.0,top
D6,149.275,-98.225,270.0,top
D7,157.988934,-101.05,0.0,top
D8,158.013934,-102.250002,0.0,top
D9,152.27,-108.51,0.0,top
J2,136.975,-72.100001,90.0,top
J4,136.91,-87.71,0.0,top
L1,123.4,-96.675,0.0,top
R1,118.625,-100.775,90.0,top
R10,146.773375,-100.523375,0.0,top
R11,127.709999,-100.525,180.0,top
R12,131.95,-100.525,0.0,top
R13,151.1,-98.384999,270.0,top
R14,158.148933,-100.025,0.0,top
R15,158.163934,-103.3,0.0,top
R18,135.85,-99.2,0.0,top
R19,135.85,-98.125,180.0,top
R2,120.175,-106.025,270.0,top
R20,129.25,-96.809999,90.0,top
R21,130.25,-96.8,90.0,top
R22,152.415002,-107.472235,0.0,top
R3,122.5,-108.55,180.0,top
R4,117.05,-102.9,90.0,top
R5,116.365,-101.25,0.0,top
R6,115.875,-102.9,270.0,top
R7,131.75,-98.025,0.0,top
R8,141.625,-98.73,0.0,top
R9,142.588376,-100.523375,180.0,top
U1,121.3,-102.575,180.0,top
U2,144.466625,-101.958375,0.0,top
U3,129.625,-101.955,0.0,top
U4,144.725,-94.955,0.0,top
U5,121.91,-89.09,180.0,top
U6,151.025,-93.125,0.0,top
j1,137.01,-83.77,90.0,top
